X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
935223.026585704,190535.052575036,1,0.116357453189,0.0007823067885,Newark Airport,1,EWR,35.475594,-83.290731
1032515.67230344,167292.493195205,2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,35.7423,-90.56233
1025882.73475373,254779.600631384,3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx,33.293157,-86.767961
990618.795050933,203105.532317926,4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan,40.724545,-73.97905
931467.962751084,139837.478388857,5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island,39.809279,-75.486587
965428.990713161,157538.187255972,6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island,42.82034,-77.896672
1005999.21146452,216570.160206763,7,0.107417171123,0.000389787989274,Astoria,7,Queens,46.142206,-123.795996
1005519.38863059,222953.669759503,8,0.0275906911574,2.6587716279E-05,Astoria Park,8,Queens,39.11251,-100.35875
1042979.89176423,214199.991330431,9,0.0997840924705,0.000338443803197,Auburndale,9,Queens,28.0653,-81.78869
1042036.074619,186404.24574295,10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens,39.11251,-100.35875
981302.249635013,159321.940406407,11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn,43.867892,-69.826495
979954.989033809,195212.321898871,12,0.0366613013579,4.15116236727E-05,Battery Park,12,Manhattan,36.99654,-76.57412
979781.103303268,198536.380518729,13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan,35.082029,-86.571106
975797.939944931,166466.416474705,14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,28.671439,-81.553055
1042966.34376523,225424.579956363,15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens,47.97168,-98.99327
1047503.93543141,216688.068786688,16,0.141291873771,0.000871889446182,Bayside,16,Queens,28.097783,-97.206225
998342.742275273,191392.63949854,17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn,32.852546,-97.136289
1015524.98268322,255811.61624175,18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx,41.811929,-87.68732
1059665.19707514,207710.508134947,19,0.101824875452,0.000546661094782,Bellerose,19,Queens,40.736459,-73.722376
1015775.55990677,251807.938309754,20,0.0514401924362,0.000134512633032,Belmont,20,Bronx,37.516644,-122.29339
989442.568046118,158619.631954333,21,0.115973569062,0.000380251345507,Bensonhurst East,21,Brooklyn,40.650002,-73.949997
